Timestamp,Currency,,Annual total compensation,Annual gross base pay,Signing bonus,Value of bonus,Value of initial stock,Value of additional stock,Negotiated or not,Job type,Job title,Name of company,Publicly-traded or privately-held,Industry,Location,Cumulative work experience,Time under employer,Time in current position,Education level,Major/Concentration,,,Age,Gender,Ethnicity,Country,Cost of living
11/23/2018 21:55:19,US Dollar (USD),Salary,100.0,100.0,1.5,,,,No,Intern,Summer Technology Analyst,Goldman Sachs,Publicly-traded,Finance,Fully on-site position (never or almost-never remote),0.0,0.0,0.0,High school / GED,Computer Science,Pursuing Bachelor's (4-year) Degree,Computer Science,19.0,Male,Asian,United States,
11/24/2018 23:39:33,US Dollar (USD),Salary,84.56,79.56,,5.0,,,No,Full-time,Data Engineer,,Privately-held,Automotive,Fully remote,240.0,32.0,32.0,Some college/university (did not graduate),High School,Pursuing Bachelor's (4-year) Degree,,36.0,Male,White,United States,
11/25/2018 1:21:36,US Dollar (USD),Salary,65.0,64.0,0.0,0.0,0.0,0.0,Yes,Full-time,firmware engineer,Decline to answer,Publicly-traded,Decline to answer,Fully on-site position (never or almost-never remote),24.0,24.0,24.0,Bachelor's (4-year) Degree,Electrical Engineer,Other,Electrical Engineer,,Male,White,united states,
11/26/2018 9:23:48,US Dollar (USD),Salary,60.0,60.0,0.0,0.0,0.0,0.0,No,Full-time,Junior Developer,Booz Allen Hamilton,Publicly-traded,,Fully on-site position (never or almost-never remote),0.0,1.0,1.0,Bachelor's (4-year) Degree,Chemistry,Pursuing Master's Degree,Software Engineering,23.0,Male,White,United States of America,
11/28/2018 0:55:38,US Dollar (USD),Hourly,90.0,86.0,,4.0,,,No,Full-time,Technology Architect ,Accenture,Publicly-traded,Consulting,Fully on-site position (never or almost-never remote),54.0,18.0,1.0,Bachelor's (4-year) Degree,Computer Science,Other,,25.0,Male,Hispanic/Latino,USA,
11/28/2018 9:58:48,US Dollar (USD),Salary,84.0,74.0,5.0,3.0,0.0,0.0,No,Full-time,Software Engineer,JP Morgan Chase ,Publicly-traded,Banking ,Fully on-site position (never or almost-never remote),3.0,0.0,0.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Bachelor's (4-year) Degree,Computer Science,22.0,Male,White,United States,
11/28/2018 14:19:14,US Dollar (USD),Salary,91.935,75.5,,,,,No,Full-time,Senior Consultant,,Privately-held,IT/Finance/Telecom,Mostly in office (some remote allowed),48.0,42.0,17.0,Bachelor's (4-year) Degree,Computer Science,Other,,29.0,Male,Black,,
11/28/2018 16:21:55,US Dollar (USD),Salary,70.5,65.0,,,12.0,,Yes,Full-time,Tech Support Engineer,Pivotal,Publicly-traded,PaaS,Fully on-site position (never or almost-never remote),0.0,0.0,0.0,Bachelor's (4-year) Degree,BS CS,Pursuing Bachelor's (4-year) Degree,CS,23.0,Male,Black,USA,
11/30/2018 11:59:13,US Dollar (USD),Salary,150.0,125.0,20.0,,100.0,,Yes,Full-time,Software Engineer L3,Google,Publicly-traded,Tech,Fully on-site position (never or almost-never remote),6.0,0.0,0.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,Computer Science,21.0,Female,Asian,United States,High cost of living
11/30/2018 16:25:49,US Dollar (USD),Salary,165.0,135.0,30.0,0.0,0.0,,No,Full-time,Software Engineer,,Privately-held,,Fully on-site position (never or almost-never remote),12.0,0.0,0.0,High school / GED,,Pursuing Bachelor's (4-year) Degree,Computer Science,,,,,
